title,category,volumes,user_id,id,last_updated,status
Senpai,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,21,2026-03-22 11:30:47.449747+00,green
ดอกไม้ราตรี,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,22,2026-03-22 11:30:47.449747+00,green
ดอกไม้ไฟต้องมองจากด้านล่างหรือด้านข้าง,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,23,2026-03-22 11:30:47.449747+00,green
เดอะซิกเซนส์ (The Sixth Sense),Novel,"[""\u0e13\u0e32\u0e13\u0e2a\u0e37\u0e48\u0e2d\u0e23\u0e31\u0e01"", ""\u0e01\u0e31\u0e1a\u0e14\u0e31\u0e01\u0e23\u0e31\u0e01\u0e25\u0e27\u0e07"", ""\u0e40\u0e25\u0e2b\u0e4c\u0e1a\u0e48\u0e27\u0e07\u0e21\u0e19\u0e15\u0e23\u0e32"", ""\u0e21\u0e32\u0e22\u0e32\u0e23\u0e49\u0e2d\u0e22\u0e43\u0e08"", ""\u0e40\u0e1b\u0e25\u0e44\u0e1f\u0e43\u0e19\u0e2a\u0e32\u0e1a\u0e25\u0e21""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,24,2026-03-22 11:30:47.449747+00,green
แดนดาวเนเวอร์ดาย (แดนดาว),Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,25,2026-03-22 11:30:47.449747+00,green
เด็กชายในชุดนอนลายทาง,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,26,2026-03-22 11:30:47.449747+00,green
ไตรฉัตร,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,27,2026-03-22 11:30:47.449747+00,green
ที่สองไม่ไหวขอเป็นที่หนึ่ง,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,28,2026-03-22 11:30:47.449747+00,green
บุพเพสันนิวาส,Novel,"[""\u0e1a\u0e38\u0e1e\u0e40\u0e1e\u0e2a\u0e31\u0e19\u0e19\u0e34\u0e27\u0e32\u0e2a"", ""\u0e1e\u0e23\u0e21\u0e25\u0e34\u0e02\u0e34\u0e15""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,29,2026-03-22 11:30:47.449747+00,green
ฝันถึงเรื่องนั้นอีกแล้ว,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,30,2026-03-22 11:30:47.449747+00,green
พินิจจันทร์,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,31,2026-03-22 11:30:47.449747+00,green
ภูเมฆ,Novel,"[""1"", ""2""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,32,2026-03-22 11:30:47.449747+00,green
มาตาลดา,Novel,"[""1"", ""2""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,33,2026-03-22 11:30:47.449747+00,green
เราต่างหลงทางในความเปลี่ยวว้าง,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,34,2026-03-22 11:30:47.449747+00,green
แรกรัก (ลวง),Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,35,2026-03-22 11:30:47.449747+00,green
A Silent Voice,Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,36,2026-03-22 11:30:47.449747+00,green
Black Butler (คนลึกไขปริศนาลับ),Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,37,2026-03-22 11:30:47.449747+00,green
Cardcaptor Sakura (ภาคโคลด์การ์ด),Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,38,2026-03-22 11:30:47.449747+00,green
Cardcaptor Sakura (ภาคเคลียร์การ์ด),Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,39,2026-03-22 11:30:47.449747+00,green
Dandadan,Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,40,2026-03-22 11:30:47.449747+00,yellow
Demon Slayer,Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,41,2026-03-22 11:30:47.449747+00,green
Detective Conan,Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45"", ""46"", ""47"", ""48"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""59"", ""60"", ""61"", ""62"", ""63"", ""64"", ""65"", ""66"", ""67"", ""68"", ""69"", ""70"", ""71"", ""72"", ""73"", ""74"", ""75"", ""76"", ""77"", ""78"", ""79"", ""80"", ""81"", ""82"", ""83"", ""84"", ""85"", ""86"", ""87"", ""88"", ""89"", ""90"", ""91"", ""92""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,42,2026-03-22 11:30:47.449747+00,yellow
Dr. Stone,Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,43,2026-03-22 11:30:47.449747+00,yellow
Gakuen Babysitters (นักเรียนพี่เลี้ยงเด็ก),Comic,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,44,2026-03-22 11:30:47.449747+00,green
